run_id,model_type,lasso_alpha,differencing,look_back,years_data,preprocessing_time_seconds,selected_features_count,selected_features_names,used_differencing,plot_directory,model_training_time_seconds,final_val_loss,best_val_loss,epochs_trained,test_set_prediction_time_seconds,overall_mse,overall_mae,overall_rmse,overall_rmse_perc_mean,overall_mape,bias_me,bias_mpe,low_vol_mse,low_vol_mae,low_vol_rmse,mid_vol_mse,mid_vol_mae,mid_vol_rmse,high_vol_mse,high_vol_mae,high_vol_rmse,latency_single_pred_ms
model_att_lstm_alpha_0.005_diff_False_lb_60_yrs_3,att_lstm,0.005,False,60,3,1.0417003631591797,25,"Volume_^AEX, DayOfWeek, Month, SMA_20, SMA_200, EMA_5, MACD, MACD_Diff, RSI, BB_pband, ATR, OBV, Stoch_K, Stoch_D, Williams_R, ROC, ADX, ADX_Pos, ADX_Neg, Volatility_Ret_5D, Volatility_Ret_5D_Raw, Volatility_Ret_20D, Volatility_Ret_20D_Raw, Volatility_Ret_60D, Volatility_Ret_60D_Raw",False,performance_evaluation_report/model_att_lstm_alpha_0.005_diff_False_lb_60_yrs_3,14.235955715179443,0.029244784265756607,0.006223299074918032,12,0.5274002552032471,836.5176191784651,24.37375548883533,28.922614321296496,3.20026843423305,2.6758686897990502,21.377019354637635,2.311319956066797,414.01893635735735,16.023118760850696,20.347455279650017,1184.4092439734306,31.580351456351902,34.41524726009433,592.2240211425552,18.911749945746518,24.33565329187929,452.26314067840576
model_att_lstm_alpha_0.01_diff_False_lb_60_yrs_3,att_lstm,0.01,False,60,3,0.1396021842956543,22,"Volume_^AEX, DayOfWeek, Month, SMA_20, SMA_200, EMA_5, MACD_Diff, RSI, BB_pband, ATR, OBV, Stoch_K, Stoch_D, Williams_R, ROC, ADX, ADX_Pos, ADX_Neg, Volatility_Ret_20D, Volatility_Ret_20D_Raw, Volatility_Ret_60D, Volatility_Ret_60D_Raw",False,performance_evaluation_report/model_att_lstm_alpha_0.01_diff_False_lb_60_yrs_3,20.752870798110962,0.013172544538974762,0.009388047270476818,19,0.481428861618042,1539.8779953047099,32.988695077016835,39.24127922615049,4.342021984295682,3.6591299917340967,25.12175085189495,2.728504391043522,821.9546305855941,25.160057915581593,28.669751142721733,1257.9228857899268,28.792011647984594,35.46720859878779,2798.21531992716,48.86097547743054,52.898159891693396,412.3342514038086
model_standard_lstm_alpha_0.005_diff_False_lb_60_yrs_3,standard_lstm,0.005,False,60,3,0.10667300224304199,25,"Volume_^AEX, DayOfWeek, Month, SMA_20, SMA_200, EMA_5, MACD, MACD_Diff, RSI, BB_pband, ATR, OBV, Stoch_K, Stoch_D, Williams_R, ROC, ADX, ADX_Pos, ADX_Neg, Volatility_Ret_5D, Volatility_Ret_5D_Raw, Volatility_Ret_20D, Volatility_Ret_20D_Raw, Volatility_Ret_60D, Volatility_Ret_60D_Raw",False,performance_evaluation_report/model_standard_lstm_alpha_0.005_diff_False_lb_60_yrs_3,28.980663537979126,0.010437543503940105,0.007392038591206074,42,0.7385621070861816,820.1203492420677,24.346264128989354,28.63774343837286,3.168747656604683,2.6991649203115653,21.665874508255765,2.3696073074869557,319.53027444043084,15.330501980251732,17.875409769860685,561.634083004803,20.483560313349177,23.698820287195794,1816.142434331795,40.765541924370645,42.616222666160766,408.04481506347656
model_standard_lstm_alpha_0.01_diff_False_lb_60_yrs_3,standard_lstm,0.01,False,60,3,0.13964581489562988,22,"Volume_^AEX, DayOfWeek, Month, SMA_20, SMA_200, EMA_5, MACD_Diff, RSI, BB_pband, ATR, OBV, Stoch_K, Stoch_D, Williams_R, ROC, ADX, ADX_Pos, ADX_Neg, Volatility_Ret_20D, Volatility_Ret_20D_Raw, Volatility_Ret_60D, Volatility_Ret_60D_Raw",False,performance_evaluation_report/model_standard_lstm_alpha_0.01_diff_False_lb_60_yrs_3,15.648597478866577,0.006510164123028517,0.0011920423712581396,21,0.7481865882873535,396.60901923982243,15.102122205369007,19.915045047396262,2.203586761677447,1.6867323334225324,0.6492422117409156,0.035417304039260786,120.6722150348748,8.600767347547734,10.98509057927493,206.7803948140983,11.993103027343741,14.379860736950768,1036.3840202607416,27.562430487738705,32.19291879063999,401.3000965118408
